RN;SAT;Região;Estado;Latitude;Longitude;Alt.Orto. (H);Alt.Geom. (h);Ondulação (N) Conexão *;Ondulação (N) MAPGEO2015 **;Discrepâncias dif.Conexão_X_MAPGEO2015;;;
1190A;91327;CENTRO-OESTE;DISTRITO FEDERAL;-15,9788127;-47,8195672;1059,4979;1046,8670;-12,63;-12,57;-0,06;;;
1190C;91329;CENTRO-OESTE;DISTRITO FEDERAL;-16,0197671;-47,8008205;882,4898;869,7610;-12,73;-12,59;-0,14;;;
2194B;91319;CENTRO-OESTE;DISTRITO FEDERAL;-15,5633432;-47,6591913;1015,9372;1002,8070;-13,13;-12,98;-0,15;;;
2194D;91320;CENTRO-OESTE;DISTRITO FEDERAL;-15,5304971;-47,6254350;1037,8666;1024,7580;-13,11;-13,08;-0,03;;;
2223M;91332;CENTRO-OESTE;DISTRITO FEDERAL;-15,9377468;-47,8075113;1041,0164;1028,7410;-12,28;-12,58;0,30;;;
2223S;91326;CENTRO-OESTE;DISTRITO FEDERAL;-15,9479968;-47,7123234;1012,9521;1000,1670;-12,79;-12,77;-0,02;;;
2223X;91316;CENTRO-OESTE;DISTRITO FEDERAL;-15,9603608;-47,6369519;963,8676;951,0300;-12,84;-12,73;-0,11;;;
2224E;91318;CENTRO-OESTE;DISTRITO FEDERAL;-16,0246319;-47,5457596;1038,4530;1025,6160;-12,84;-12,79;-0,05;;;
2226G;91321;CENTRO-OESTE;DISTRITO FEDERAL;-15,8507793;-47,6240649;1048,3217;1035,4940;-12,83;-12,76;-0,07;;;
2226N;91322;CENTRO-OESTE;DISTRITO FEDERAL;-15,7339082;-47,6616107;923,6838;910,7950;-12,89;-12,79;-0,10;;;
2227C;91323;CENTRO-OESTE;DISTRITO FEDERAL;-16,0374104;-47,4139167;872,0277;859,0580;-12,97;-12,84;-0,13;;;
2227P;91324;CENTRO-OESTE;DISTRITO FEDERAL;-15,7900531;-47,3805571;940,7088;927,5630;-13,15;-12,99;-0,16;;;
